Target Company Name;Full Name;P_ID;Primary SIC Code;Dimensions;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
SCHWAB (CHARLES) CORP;Walter W. Bettinger, II;13988Walter W. Bettinger, II;6211;Changes;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;1;3;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;1;1;2;1;1;2;2;1;2;2;1;1;1;1;Z;Z;Z;Z;Z;Z;Z;Z;Z
SCHWAB (CHARLES) CORP;Walter W. Bettinger, II;13988Walter W. Bettinger, II;6211;Board Memberships;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;Z;Z;Z;Z;Z;Z;Z;Z;Z
SEAGATE TECHNOLOGY PLC;Stephen J. Luczo;150937Stephen J. Luczo;3572;Companies;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;C;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;Z;Z;Z;Z;Z;Z;Z;Z;Z
SEAGATE TECHNOLOGY PLC;Stephen J. Luczo;150937Stephen J. Luczo;3572;NameOf Company;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Bear Stearns & Co. Inc. 621101;Seagate Tech. LLC;Seagate Tech. LLC;Seagate Tech. LLC;Seagate Tech. LLC;Seagate Tech. LLC;Seagate Tech. LLC;Seagate Tech. LLC;Seagate Tech. LLC;Seagate Tech. LLC;Seagate Tech. LLC;Seagate Tech. LLC;Seagate Tech. LLC;Seagate Tech. LLC;Seagate Tech. LLC;Seagate Tech. LLC;Seagate Tech. LLC;Seagate Tech. LLC;Seagate Tech. LLC;Seagate Tech. LLC;Seagate Tech. LLC;Z;Z;Z;Z;Z;Z;Z;Z;Z
SEAGATE TECHNOLOGY PLC;Stephen J. Luczo;150937Stephen J. Luczo;3572;Titles;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;D;D;D;D;D;D;L;L;L;L;L;L;D;D;D;D;D;L;L;L;L;Z;Z;Z;Z;Z;Z;Z;Z;Z
SEAGATE TECHNOLOGY PLC;Stephen J. Luczo;150937Stephen J. Luczo;3572;DesignationDetail;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;sr. mng. dir. Global Tech. Group;exec. v.p. corp. devel.;exec. v.p. corp. devel.;exec. v.p. corp. devel.;exec. v.p. corp. devel.;exec. v.p. corp. devel.,pres.;pres.,CEO;pres.,CEO;pres.,CEO  & Board of Dirs seagate LLC;pres.,CEO;pres.,CEO;pres.,CEO;Chairman;Chairman;Chairman;Chairman;Chairman;pres.,CEO;pres.,CEO;pres.,CEO;pres.,CEO;Z;Z;Z;Z;Z;Z;Z;Z;Z
SEAGATE TECHNOLOGY PLC;Stephen J. Luczo;150937Stephen J. Luczo;3572;Changes;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;1;3;1;1;1;2;2;1;1;1;2;1;2;1;1;1;1;2;1;1;1;Z;Z;Z;Z;Z;Z;Z;Z;Z
SEAGATE TECHNOLOGY PLC;Stephen J. Luczo;150937Stephen J. Luczo;3572;Board Memberships;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;Z;Z;Z;Z;Z;Z;Z;Z;Z
SEALED AIR CORP;William V. Hickey;9555William V. Hickey;2673;Companies;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z
SEALED AIR CORP;William V. Hickey;9555William V. Hickey;2673;NameOf Company;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Sealed Air Corp.;Sealed Air Corp.;Sealed Air Corp.;Sealed Air Corp.;Sealed Air Corp.;Sealed Air Corp.;Sealed Air Corp.;Sealed Air Corp.;Sealed Air Corp.;Sealed Air Corp.;Sealed Air Corp.;Sealed Air Corp.;Sealed Air Corp.;Sealed Air Corp.;Sealed Air Corp.;Sealed Air Corp.;Sealed Air Corp.;Sealed Air Corp.;Sealed Air Corp.;Sealed Air Corp.;Sealed Air Corp.;Sealed Air Corp.;Sealed Air Corp.;Sealed Air Corp.;Sealed Air Corp.;Sealed Air Corp.;Sealed Air Corp.;Sealed Air Corp.;Sealed Air Corp.;Sealed Air Corp.;Sealed Air Corp.;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z
SEALED AIR CORP;William V. Hickey;9555William V. Hickey;2673;Titles;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;H;H;H;H;H;H;H;H;H;H;H;H;H;H;D;D;J;J;J;J;L;L;L;L;L;L;L;L;L;L;L;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z
SEALED AIR CORP;William V. Hickey;9555William V. Hickey;2673;DesignationDetail;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;joined;joined;joined;joined;joined;joined;joined;joined;joined;joined;joined;joined;joined;joined;exec. v.p.;exec. v.p.;pres., COO;pres., COO;pres., COO;pres., COO;pres., CEO;pres., CEO;pres., CEO;pres., CEO;pres., CEO;pres., CEO;pres., CEO;pres., CEO;pres., CEO;pres., CEO;pres., CEO;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z
SEALED AIR CORP;William V. Hickey;9555William V. Hickey;2673;Changes;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;1;1;1;1;2;1;1;1;2;1;1;1;2;1;2;1;2;1;1;1;2;1;1;1;1;1;1;1;1;1;1;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z
SEALED AIR CORP;William V. Hickey;9555William V. Hickey;2673;Board Memberships;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;3;3;4;2;2;2;2;2;2;2;2;2;2;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z
SEARS HOLDINGS CORP;Charles C. Conaway;6307Charles C. Conaway;5311;Companies;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;C;C;C;C;C;C;C;C;C;C;C;A;A;A;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z
SEARS HOLDINGS CORP;Charles C. Conaway;6307Charles C. Conaway;5311;NameOf Company;NF;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;reliable Drug Stores;reliable Drug Stores;reliable Drug Stores;CVS Corp;CVS Corp;CVS Corp;CVS Corp;CVS Corp;CVS Corp;CVS Corp;CVS Corp;KMART,Sears;KMART,Sears;KMART,Sears;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z
SEARS HOLDINGS CORP;Charles C. Conaway;6307Charles C. Conaway;5311;Titles;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;J;J;J;D;D;D;J;J;J;J;J;L;L;L;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z
SEARS HOLDINGS CORP;Charles C. Conaway;6307Charles C. Conaway;5311;DesignationDetail;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;founder, coo;founder, coo;founder, coo;vp pharmacy;vp pharmacy;vp pharmacy;vp, cfo;vp, cfo;vp, cfo;vp, cfo;vp, cfo;ceo, chairman;ceo, chairman;ceo, chairman;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z
SEARS HOLDINGS CORP;Charles C. Conaway;6307Charles C. Conaway;5311;Changes;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;1;1;1;2;1;1;2;1;1;1;1;2;1;1;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z
SEARS HOLDINGS CORP;Charles C. Conaway;6307Charles C. Conaway;5311;Board Memberships;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;1;1;1;1;1;1;1;1;1;1;1;2;2;2;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z
3M CO;W. James McNerney, Jr.;7435W. James McNerney, Jr.;3291;Companies;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;A;A;A;A;C;C;C;C;C;C;C;C;C;Z;Z;Z;Z;Z;Z;Z;Z
3M CO;W. James McNerney, Jr.;7435W. James McNerney, Jr.;3291;NameOf Company;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;The Procter & Gamble Co. 2840;The Procter & Gamble Co.;The Procter & Gamble Co.;McKinsey & Co. 8742;McKinsey & Co.;McKinsey & Co.;McKinsey & Co.;GE Co. 3600;GE Co.;GE Co.;GE Co.;GE Co.;GE Co.;GE Info. Services;GE Financial Sevices & Capital;GE Financial Sevices & Capital;GE Elec. Distribn. and Control;GE Elec. Distribn. and Control;GE Asia-Pacific;GE Asia-Pacific;GE Lighting;GE Aircraft Engines;GE Aircraft Engines;GE Aircraft Engines;GE Aircraft Engines;GE Aircraft Engines;3M Corp.3841;3M Corp.;3M Corp.;3M Corp.;The Boeing Co. 3721;The Boeing Co. 3721;The Boeing Co.;The Boeing Co.;The Boeing Co.;The Boeing Co.;The Boeing Co.;The Boeing Co.;The Boeing Co.;Z;Z;Z;Z;Z;Z;Z;Z
3M CO;W. James McNerney, Jr.;7435W. James McNerney, Jr.;3291;Titles;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;e;e;e;D;D;D;D;D;D;D;D;D;D;D;D;D;K;K;D;D;K;K;K;K;K;K;L;L;L;L;K;K;K;K;K;K;K;K;K;Z;Z;Z;Z;Z;Z;Z;Z
3M CO;W. James McNerney, Jr.;7435W. James McNerney, Jr.;3291;DesignationDetail;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;brand mgr.;brand mgr.;brand mgr.;sr. mgr.;sr. mgr.;sr. mgr.;sr. mgr.;gen. mgr.;gen. mgr.;gen. mgr.;gen. mgr.;gen. mgr.;gen. mgr.;pres.;exec. v.p.;exec. v.p.;pres., CEO;pres., CEO;pres.;pres.;pres., CEO;pres., CEO;pres., CEO;pres., CEO;pres., CEO;pres., CEO;chmn., CEO;chmn., CEO;chmn., CEO;chmn., CEO;chmn., CEO;chmn., pres., CEO;chmn., pres., CEO;chmn., pres., CEO;chmn., pres., CEO;chmn., pres., CEO;chmn., pres., CEO;chmn., pres., CEO;chmn., pres., CEO;Z;Z;Z;Z;Z;Z;Z;Z
3M CO;W. James McNerney, Jr.;7435W. James McNerney, Jr.;3291;Changes;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;1;1;1;3;1;1;1;3;1;1;1;1;1;2;2;1;2;1;2;1;2;1;2;1;1;1;3;1;1;1;3;1;1;1;1;1;1;1;1;Z;Z;Z;Z;Z;Z;Z;Z
3M CO;W. James McNerney, Jr.;7435W. James McNerney, Jr.;3291;Board Memberships;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;3;1;1;1;1;1;1;1;1;4;4;4;4;3;3;3;3;3;3;3;3;3;Z;Z;Z;Z;Z;Z;Z;Z
3M CO;Robert S. Morrison;7435Robert S. Morrison;3291;Companies;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;Z;A;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z
3M CO;Robert S. Morrison;7435Robert S. Morrison;3291;NameOf Company;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Procter & Gamble Co.;Procter & Gamble Co.;Procter & Gamble Co.;Procter & Gamble Co.;Procter & Gamble Co.;Procter & Gamble Co.;Procter & Gamble Co.;Procter & Gamble Co.;Procter & Gamble Co.;Procter & Gamble Co.;Procter & Gamble Co.;Procter & Gamble Co.;Procter & Gamble Co.;Procter & Gamble Co.;Kraft Inc. 2022;Kraft Inc.;Kraft Inc.;Kraft Inc.;Kraft Inc.;Kraft Inc.;Kraft Inc.;Kraft Inc.;Kraft Inc.;Kraft Inc.;Kraft Inc.;Kraft Inc.;Kraft Inc.;Kraft Inc.;Quaker Oats Co. 2043;Quaker Oats Co. 2043;Quaker Oats Co.;Quaker Oats Co.;PepsiCo., Inc.;PepsiCo., Inc.;PepsiCo., Inc.;PepsiCo., Inc.;3M Corp.;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z
3M CO;Robert S. Morrison;7435Robert S. Morrison;3291;Titles;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;H;H;H;H;H;H;H;H;H;H;H;H;H;H;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;K;D;D;D;D;L;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z
3M CO;Robert S. Morrison;7435Robert S. Morrison;3291;DesignationDetail;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;chmn., CEO;chmn., CEO;chmn., CEO;chmn., CEO;chmn., CEO;chmn., CEO;chmn., CEO;chmn., CEO;chmn., CEO;chmn., CEO;chmn., CEO;chmn., CEO;chmn., CEO;chmn., CEO;chmn., pres. CEO;chmn., pres. CEO;chmn., pres. CEO;chmn., pres. CEO;vice chmn.;vice chmn.;vice chmn.;vice chmn.;interim chmn., CEO;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z
3M CO;Robert S. Morrison;7435Robert S. Morrison;3291;Changes;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;1;1;1;2;1;1;1;2;1;1;1;2;1;1;3;1;1;1;1;1;2;1;2;1;1;2;1;1;3;1;1;1;3;1;1;1;3;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z
3M CO;Robert S. Morrison;7435Robert S. Morrison;3291;Board Memberships;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;3;3;3;3;3;3;3;4;4;4;4;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z
3M CO;Inge G. Thulin;7435Inge G. Thulin;3291;Companies;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;Z;Z;Z;Z;Z;Z;Z;Z
3M CO;Inge G. Thulin;7435Inge G. Thulin;3291;NameOf Company;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;3M Corp.;3M Corp.;3M Corp.;3M Corp.;3M Corp.;3M Corp.;3M Corp.;3M Corp.;3M Corp.;3M Corp.;3M Corp.;3M Corp.;3M Corp.;3M Corp.;3M Corp.;3M Corp.;3M Corp.;3M Corp.;3M Corp.;3M Corp.;3M Corp.;3M Corp.;3M Corp.;3M Corp.;3M Corp.;3M Corp.;3M Corp.;3M Corp.;3M Corp.;3M Corp.;3M Corp.;3M Corp.;3M Corp.;3M Corp.;3M Corp.;Z;Z;Z;Z;Z;Z;Z;Z
